iter	Passed	Remaining
893	5873	7265
894	5878	7257
895	5883	7249
896	5889	7241
897	5894	7233
898	5899	7225
899	5905	7217
900	5910	7209
901	5916	7201
902	5921	7193
903	5926	7184
904	5933	7178
905	5938	7170
906	5943	7162
907	5949	7155
908	5955	7148
909	5961	7140
910	5966	7132
911	5971	7123
912	5976	7115
913	5981	7107
914	5986	7099
915	5992	7091
916	5998	7084
917	6003	7076
918	6008	7068
919	6014	7060
920	6019	7052
921	6024	7044
922	6030	7036
923	6036	7029
924	6041	7021
925	6047	7014
926	6052	7006
927	6058	6998
928	6066	6994
929	6074	6989
930	6081	6982
931	6089	6978
932	6096	6971
933	6102	6964
934	6107	6956
935	6112	6948
936	6118	6941
937	6123	6933
938	6129	6925
939	6135	6918
940	6140	6910
941	6145	6902
942	6151	6895
943	6156	6887
944	6162	6879
945	6168	6872
946	6173	6864
947	6178	6856
948	6184	6849
949	6189	6841
950	6195	6833
951	6202	6828
952	6208	6820
953	6213	6812
954	6219	6805
955	6224	6797
956	6230	6790
957	6235	6782
958	6241	6774
959	6246	6767
960	6252	6759
961	6257	6751
962	6262	6743
963	6268	6736
964	6273	6728
965	6278	6720
966	6284	6713
967	6289	6705
968	6295	6698
969	6301	6690
970	6306	6682
971	6311	6674
972	6318	6668
973	6323	6661
974	6328	6653
975	6334	6645
976	6339	6638
977	6345	6630
978	6350	6623
979	6355	6615
980	6361	6607
981	6366	6600
982	6371	6592
983	6377	6584
984	6382	6577
985	6388	6569
986	6393	6561
987	6398	6553
988	6403	6546
989	6408	6538
990	6414	6531
991	6419	6523
992	6424	6515
993	6431	6508
994	6436	6501
995	6441	6493
996	6447	6486
997	6452	6478
998	6457	6470
999	6464	6464
1000	6469	6456
1001	6474	6448
1002	6480	6441
1003	6485	6433
1004	6490	6425
1005	6495	6418
1006	6500	6410
1007	6506	6403
1008	6512	6396
1009	6517	6388
1010	6522	6380
1011	6528	6374
1012	6534	6366
1013	6539	6358
1014	6545	6352
1015	6550	6344
1016	6556	6337
1017	6562	6330
1018	6567	6322
1019	6572	6315
1020	6578	6308
1021	6583	6300
1022	6589	6292
1023	6595	6285
1024	6600	6278
1025	6605	6271
1026	6611	6263
1027	6616	6256
1028	6621	6248
1029	6627	6241
1030	6632	6233
1031	6637	6226
1032	6643	6219
1033	6649	6211
1034	6654	6204
1035	6660	6197
1036	6665	6189
1037	6670	6182
1038	6677	6175
1039	6682	6168
1040	6687	6160
1041	6692	6153
1042	6698	6145
1043	6703	6138
1044	6709	6131
1045	6714	6123
1046	6719	6116
1047	6726	6110
1048	6731	6102
1049	6737	6095
1050	6742	6088
1051	6748	6080
1052	6753	6073
1053	6759	6066
1054	6764	6059
1055	6770	6052
1056	6775	6044
1057	6780	6037
1058	6785	6029
1059	6790	6021
1060	6795	6014
1061	6800	6006
1062	6807	6000
1063	6812	5992
1064	6817	5985
1065	6824	5979
1066	6830	5972
1067	6836	5965
1068	6842	5958
1069	6847	5951
1070	6853	5944
1071	6858	5937
1072	6863	5929
1073	6869	5922
1074	6874	5915
1075	6879	5907
1076	6885	5900
1077	6890	5893
1078	6895	5885
1079	6900	5878
1080	6905	5871
1081	6911	5863
1082	6916	5856
1083	6922	5849
1084	6927	5842
1085	6933	5835
1086	6938	5828
1087	6944	5820
1088	6949	5813
1089	6955	5806
1090	6960	5798
1091	6964	5791
1092	6970	5784
1093	6975	5777
1094	6980	5769
1095	6986	5762
1096	6991	5754
1097	6996	5747
1098	7002	5740
1099	7007	5733
1100	7012	5726
1101	7018	5719
1102	7023	5711
1103	7028	5704
1104	7034	5697
1105	7039	5690
1106	7044	5683
1107	7050	5676
1108	7055	5668
1109	7060	5661
1110	7066	5654
1111	7074	5649
1112	7079	5641
1113	7085	5635
1114	7090	5628
1115	7096	5620
1116	7102	5614
1117	7107	5606
1118	7112	5599
1119	7119	5593
1120	7124	5586
1121	7129	5578
1122	7134	5572
1123	7139	5564
1124	7145	5557
1125	7151	5550
1126	7156	5543
1127	7161	5536
1128	7167	5529
1129	7173	5523
1130	7179	5516
1131	7185	5509
1132	7190	5502
1133	7195	5494
1134	7201	5488
1135	7207	5481
1136	7212	5474
1137	7218	5467
1138	7223	5460
1139	7228	5453
1140	7235	5447
1141	7240	5440
1142	7246	5432
1143	7251	5426
1144	7256	5418
1145	7263	5412
1146	7269	5405
1147	7274	5398
1148	7279	5391
1149	7285	5384
1150	7290	5377
1151	7296	5370
1152	7301	5363
1153	7306	5356
1154	7313	5350
1155	7318	5343
1156	7323	5335
1157	7329	5329
1158	7334	5322
1159	7339	5315
1160	7346	5308
1161	7351	5301
1162	7357	5294
1163	7363	5288
1164	7369	5281
1165	7374	5274
1166	7379	5267
1167	7384	5260
1168	7388	5252
1169	7394	5245
1170	7400	5238
1171	7405	5231
1172	7411	5225
1173	7416	5218
1174	7421	5210
1175	7427	5204
1176	7432	5197
1177	7437	5190
1178	7443	5183
1179	7449	5176
1180	7454	5169
1181	7460	5162
1182	7465	5155
1183	7471	5148
1184	7477	5142
1185	7482	5135
1186	7488	5128
1187	7494	5122
1188	7499	5115
1189	7505	5108
1190	7511	5102
1191	7516	5095
1192	7521	5088
1193	7528	5082
1194	7533	5075
1195	7539	5068
1196	7544	5061
1197	7549	5054
